"","cell","Longitude(x)","Latitude(y)","Elaenia_cristata","Psittacanthus_robustus","Qualea_dichotoma","Qualea_grandiflora","Qualea_multiflora","Qualea_parviflora","Salvertia_convallariodora","Tersina_viridis","Thraupis_sayaca","Vochysia_cinnamomea","Vochysia_elliptica","Vochysia_rufa","Vochysia_thyrsoidea","Vochysia_tucanorum","bio1","bio12","bio14","bio15","bio18","bio19","bio2","bio4"
"729","729",-47.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.6525497436523,1588.86547851562,4.59747457504272,75.4104080200195,209.831176757812,744.929626464844,11.7699003219604,67.6236724853516
"730","730",-46.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.0188179016113,1257.41076660156,2.39242029190063,78.1320648193359,155.103637695312,528.084533691406,12.1380786895752,76.5945129394531
"731","731",-45.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.0533332824707,1166.75439453125,1.37082934379578,81.8231887817383,117.960433959961,209.970932006836,12.3393335342407,88.9654235839844
"732","732",-44.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.2176113128662,1038.53442382812,1.35463094711304,82.9625701904297,132.294845581055,41.9484558105469,12.3513040542603,99.5818252563477
"733","733",-43.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.8077754974365,907.717407226562,1.29813921451569,85.2857360839844,180.34001159668,25.7635803222656,12.2742118835449,98.3213729858398
"734","734",-42.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,26.3774642944336,776.488647460938,1.23406958580017,91.1290588378906,155.086898803711,14.3817052841187,13.2345476150513,98.4249114990234
"735","735",-41.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,26.4470119476318,650.508239746094,0.193815305829048,99.1737747192383,165.776809692383,5.89366674423218,13.3418912887573,106.760925292969
"736","736",-40.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24.8001155853271,585.568359375,1.70698034763336,94.9741973876953,165.959732055664,14.9663858413696,12.3243684768677,126.622039794922
"737","737",-39.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24.4813594818115,592.059753417969,2.95454359054565,95.1318130493164,164.010681152344,28.028564453125,10.9970674514771,150.29801940918
"738","738",-38.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,23.7099056243896,664.910034179688,4.35548448562622,92.2176895141602,173.349273681641,46.9525260925293,10.5172605514526,171.419616699219
